資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130621",="00746B","37.516","2,432,964,000","91,274,687,265"
"1130621",="00741B","38.914","11,628,000","452,490,848"
"1130621",="00740B","41.276","1,269,471,000","52,399,218,287"
"1130621",="00734B","15.94","33,979,000","541,615,698"
"1130621",="00727B","40.195","96,189,000","3,866,279,172"
"1130621",="00726B","34.602","1,174,489,000","40,639,230,457"
"1130621",="00725B","38.264","2,687,206,000","102,824,369,041"
"1130621",="00724B","35.473","2,789,275,000","98,943,885,444"
"1130621",="00723B","34.687","1,580,583,000","54,826,330,161"
"1130621",="00722B","39.623","1,330,239,000","52,707,971,423"
"1130621",="00721B","47.113","4,622,000","217,755,274"
"1130621",="00720B","36.06","4,108,609,000","148,156,263,664"
"1130621",="00719B","31.836","392,014,000","12,479,955,796"
"1130621",="00697B","36.439","33,712,000","1,228,430,722"
"1130621",="00696B","32.602","1,114,181,000","36,324,275,466"
"1130621",="00695B","35.803","35,186,000","1,259,759,701"
"1130621",="00694B","41.477","194,076,000","8,049,717,436"
"1130621",="00687B","31.87","5,175,787,000","164,950,281,434"
"1130621",="00679B","30.286","7,517,192,000","227,662,247,702"
"1130620",="00928","18.23","24,856,000","453,206,892"
"1130620",="00888","17.58","453,478,000","7,973,416,941"
"1130620",="00877","11.8","283,288,000","3,343,217,788"
"1130620",="00718B","20.787","483,501,000","10,050,700,343"
"1130620",="006201","23.51","14,946,000","351,319,091"
"1130620",="00948B","10.082","866,927,000","8,740,685,043"
"1130620",="00942B","15.742","569,959,000","8,972,404,371"
"1130620",="00937B","16.077","10,370,805,000","166,730,792,960"
"1130620",="00933B","16.995","3,297,958,000","56,047,124,196"
"1130620",="00931B","15.176","1,799,898,000","27,314,405,721"
"1130620",="00890B","34.903","23,264,000","811,979,083"
"1130620",="00887","10.65","44,851,000","477,701,171"
"1130620",="00886","33.72","8,451,000","284,977,742"
"1130620",="00884B","31.327","68,940,000","2,159,676,196"
"1130620",="00883B","33.174","9,758,000","323,715,666"
"1130620",="00870B","30.355","524,651,000","15,925,685,403"
"1130620",="00867B","33.916","729,650,000","24,746,951,042"
"1130620",="00864B","45.648","122,722,000","5,601,956,432"
"1130620",="00863B","34.853","468,464,000","16,327,220,992"
"1130620",="00862B","33.984","614,881,000","20,896,018,110"
"1130620",="00860B","38.733","4,671,000","180,923,048"
"1130620",="00859B","42.531","4,511,000","191,854,880"
"1130620",="00858","32.95","21,874,000","720,844,517"
